구분,종류,학교,지번,수광점,화랑없음h,기존10층h,신축안h,신축−기존,신축−없음
여의도고등학교 ①(4층),교사동,여의도고등학교,30-1,40,5.59,5.59,5.59,0.0,0.0
여의도고등학교 ②(4층),교사동,여의도고등학교,30-1,176,4.8,4.8,4.73,-0.07,-0.07
여의도고등학교 ③(3층),교사동,여의도고등학교,30-1,30,4.39,4.39,4.19,-0.2,-0.2
여의도고등학교 운동장,운동장,여의도고등학교,30-1,666,4.54,4.54,4.43,-0.11,-0.11
여의도중학교 ①(5층),교사동,여의도중학교,40-1,165,4.48,4.48,3.9,-0.58,-0.58
여의도중학교 ②(4층),교사동,여의도중학교,40-1,84,3.81,3.71,2.97,-0.74,-0.83
여의도중학교 운동장,운동장,여의도중학교,40-1,520,4.58,4.17,3.97,-0.2,-0.61
여의도여자고등학교 ①(5층),교사동,여의도여자고등학교,40-2,30,0.53,0.53,0.52,-0.02,-0.02
여의도여자고등학교 ②(5층),교사동,여의도여자고등학교,40-2,65,2.76,2.72,2.23,-0.5,-0.54
여의도여자고등학교 ③(5층),교사동,여의도여자고등학교,40-2,60,3.63,3.33,2.99,-0.34,-0.64
여의도여자고등학교 ④(5층),교사동,여의도여자고등학교,40-2,55,5.32,2.92,3.61,0.69,-1.71
여의도여자고등학교 ⑤(4층),교사동,여의도여자고등학교,40-2,36,2.89,2.56,2.76,0.2,-0.13
여의도여자고등학교 운동장,운동장,여의도여자고등학교,40-2,435,3.05,1.97,2.34,0.37,-0.71
여의도초등학교 ①(5층),교사동,여의도초등학교,40-3,90,3.9,3.88,3.1,-0.77,-0.8
여의도초등학교 ②(4층),교사동,여의도초등학교,40-3,68,6.19,6.17,6.15,-0.02,-0.04
여의도초등학교 운동장,운동장,여의도초등학교,40-3,477,4.77,4.28,4.21,-0.07,-0.56
